url,label,length,has_ip,suspicious_count,redirects,abnormal_chars
http://192.168.93.15/login,1,0.26,1,1,0,3
http://fake-amazon.com,1,0.22,0,0,0,2
https://paypal-login.com/verify,1,0.31,0,2,0,2
https://paypal-login.com/verify,1,0.31,0,2,0,2
http://fake-google.com,1,0.22,0,0,0,2
http://bit.ly/3734,1,0.18,0,0,1,1
http://bit.ly/4556,1,0.18,0,0,1,1
http://192.168.167.18/login,1,0.27,1,1,0,3
http://fake-netflix.com,1,0.23,0,0,0,2
https://amazon.com,0,0.18,0,0,0,1
https://stackoverflow.com,0,0.25,0,0,0,1
http://192.168.132.2/login,1,0.26,1,1,0,3
https://github.com,0,0.18,0,0,0,1
https://github.com,0,0.18,0,0,0,1
https://stackoverflow.com,0,0.25,0,0,0,1
http://192.168.40.213/login,1,0.27,1,1,0,3
https://google.com,0,0.18,0,0,0,1
http://192.168.124.237/login,1,0.28,1,1,0,3
http://bit.ly/3027,1,0.18,0,0,1,1
http://bit.ly/6892,1,0.18,0,0,1,1
https://stackoverflow.com,0,0.25,0,0,0,1
https://stackoverflow.com,0,0.25,0,0,0,1
http://fake-netflix.com,1,0.23,0,0,0,2
https://amazon.com,0,0.18,0,0,0,1
https://amazon.com,0,0.18,0,0,0,1
http://bit.ly/2028,1,0.18,0,0,1,1
https://amazon.com,0,0.18,0,0,0,1
https://github.com,0,0.18,0,0,0,1
http://192.168.205.179/login,1,0.28,1,1,0,3
http://192.168.96.132/login,1,0.27,1,1,0,3
https://youtube.com,0,0.19,0,0,0,1
https://secure-login.com/verify,1,0.31,0,3,0,2
https://google.com,0,0.18,0,0,0,1
http://bit.ly/6450,1,0.18,0,0,1,1
https://google.com,0,0.18,0,0,0,1
http://bit.ly/6864,1,0.18,0,0,1,1
http://bit.ly/4748,1,0.18,0,0,1,1
http://fake-amazon.com,1,0.22,0,0,0,2
http://192.168.241.186/login,1,0.28,1,1,0,3
http://bit.ly/5737,1,0.18,0,0,1,1
http://fake-amazon.com,1,0.22,0,0,0,2
https://stackoverflow.com,0,0.25,0,0,0,1
http://fake-google.com,1,0.22,0,0,0,2
https://github.com,0,0.18,0,0,0,1
https://amazon.com,0,0.18,0,0,0,1
https://google.com,0,0.18,0,0,0,1
http://fake-netflix.com,1,0.23,0,0,0,2
http://192.168.195.147/login,1,0.28,1,1,0,3
http://192.168.39.82/login,1,0.26,1,1,0,3
http://fake-google.com,1,0.22,0,0,0,2
https://stackoverflow.com,0,0.25,0,0,0,1
http://fake-amazon.com,1,0.22,0,0,0,2
https://google.com,0,0.18,0,0,0,1
http://fake-google.com,1,0.22,0,0,0,2
https://stackoverflow.com,0,0.25,0,0,0,1
http://bit.ly/5199,1,0.18,0,0,1,1
https://paypal-login.com/verify,1,0.31,0,2,0,2
https://amazon.com,0,0.18,0,0,0,1
https://google.com,0,0.18,0,0,0,1
http://bit.ly/5911,1,0.18,0,0,1,1
https://google.com,0,0.18,0,0,0,1
https://amazon.com,0,0.18,0,0,0,1
https://bank-login.com/verify,1,0.29,0,3,0,2
https://secure-login.com/verify,1,0.31,0,3,0,2
https://google.com,0,0.18,0,0,0,1
http://fake-netflix.com,1,0.23,0,0,0,2
https://google.com,0,0.18,0,0,0,1
https://youtube.com,0,0.19,0,0,0,1
http://192.168.6.99/login,1,0.25,1,1,0,3
