text,label,keyword_count,urgency_score,link_count
Thanks for your purchase. Visit legit.com,0,0,0.7132663540345939,0
click here! Click here: http://fake.com,1,2,0.8660534776645832,1
password! Click here: http://fake.com,1,2,0.8317930188045262,1
suspended! Click here: http://fake.com,1,2,0.9738348284094686,1
password! Click here: http://fake.com,1,2,0.833849519488579,1
verify! Click here: http://fake.com,1,2,0.9428635941220747,1
click here! Click here: http://fake.com,1,2,0.9047396772542619,1
urgent! Click here: http://fake.com,1,2,0.8351715762632386,1
Thanks for your purchase. Visit legit.com,0,0,0.5624716233422102,0
verify! Click here: http://fake.com,1,2,0.8175512111539993,1
verify! Click here: http://fake.com,1,2,0.8428232486825872,1
Thanks for your purchase. Visit legit.com,0,0,0.9812379157763398,0
password! Click here: http://fake.com,1,2,0.848599518572166,1
urgent! Click here: http://fake.com,1,2,0.9783161115916219,1
Thanks for your purchase. Visit legit.com,0,0,0.4168688318281887,0
Thanks for your purchase. Visit legit.com,0,0,0.18022301177091204,0
verify! Click here: http://fake.com,1,2,0.8868152788393839,1
password! Click here: http://fake.com,1,2,0.8314675411600095,1
Thanks for your purchase. Visit legit.com,0,0,0.995585538351863,0
urgent! Click here: http://fake.com,1,2,0.8177038105126135,1
Thanks for your purchase. Visit legit.com,0,0,0.581957550068048,0
Thanks for your purchase. Visit legit.com,0,0,0.15233600850976103,0
Thanks for your purchase. Visit legit.com,0,0,0.5854838631186128,0
Thanks for your purchase. Visit legit.com,0,0,0.18784899840673674,0
verify! Click here: http://fake.com,1,2,0.966973151066663,1
Thanks for your purchase. Visit legit.com,0,0,0.46529170195350167,0
Thanks for your purchase. Visit legit.com,0,0,0.5183753744166164,0
Thanks for your purchase. Visit legit.com,0,0,0.27692823061977423,0
Thanks for your purchase. Visit legit.com,0,0,0.11243998368774522,0
Thanks for your purchase. Visit legit.com,0,0,0.4807471548628134,0
Thanks for your purchase. Visit legit.com,0,0,0.5981003487529292,0
suspended! Click here: http://fake.com,1,2,0.9953014380601252,1
Thanks for your purchase. Visit legit.com,0,0,0.9811765426389291,0
Thanks for your purchase. Visit legit.com,0,0,0.9897314311236987,0
Thanks for your purchase. Visit legit.com,0,0,0.47433937332917897,0
Thanks for your purchase. Visit legit.com,0,0,0.9208610606130632,0
Thanks for your purchase. Visit legit.com,0,0,0.4805041065090435,0
urgent! Click here: http://fake.com,1,2,0.8521662160050018,1
Thanks for your purchase. Visit legit.com,0,0,0.34438013461765227,0
click here! Click here: http://fake.com,1,2,0.8393372868253723,1
Thanks for your purchase. Visit legit.com,0,0,0.6770796699089333,0
Thanks for your purchase. Visit legit.com,0,0,0.8046895215391623,0
urgent! Click here: http://fake.com,1,2,0.9131270537402288,1
click here! Click here: http://fake.com,1,2,0.9664525771940298,1
Thanks for your purchase. Visit legit.com,0,0,0.5194031629177116,0
